regime,T,mean_rho_last,max_rho,outside_fraction,final_debt,mean_alignment_last,w_theta,w_phi,winding_ratio,mean_D,mean_C,correction_margin
stable_periodic,7000,0.0018181818181816495,0.22,0.0,0.0,0.9981834700730823,0.03182530451326856,0.015912652256634276,2.0000000000000004,0.145,0.157,0.01200000000000001
stable_quasiperiodic,12000,0.0018181818181816493,0.22,0.0,0.0,0.9981834700730823,0.033420690803500894,0.02363246303048015,1.4141856801128305,0.145,0.157,0.01200000000000001
neutral_tube,7000,0.22,0.22,0.0,0.0,0.8025187979624785,0.03341609395050339,0.023628084231574118,1.4142532091471722,0.145,0.145,0.0
rupture_low_correction,7000,7.279499545454636,8.0,0.9934285714285714,30.795600000002423,0.00184915021436519,0.03340966674807827,0.023629907118325768,1.4138721147222784,0.145,0.08999999999999998,-0.05500000000000001
